_id,name,locationStatus,direction,timestamp,rssiOne,rssiTwo
5A41B8AF1E78D3087105383A8932249E,FF:FF:C2:1D:9B:54,OUTSIDE,FROM_INSIDE_TO_OUTSIDE,1551367538559,-91,-93
BC45F666EC60354F62DBA8E522BED4A7,FF:FF:C2:1D:9B:52,OUTSIDE,FROM_INSIDE_TO_OUTSIDE,1551367538740,-85,-91
5B44C4D98F6DAEC532F03DF653576194,FF:FF:C0:22:3D:C1,OUTSIDE,FROM_OUTSIDE_TO_INSIDE,1551367538921,-84,-85
224F8288409DBA6F1CB356924D3C52AD,FF:FF:C2:1D:9B:71,OUTSIDE,FROM_INSIDE_TO_OUTSIDE,1551367538480,-83,-87
D24B130A73A460C9AD01BBE13F0469AF,FF:FF:C2:1D:9B:54,OUTSIDE,FROM_OUTSIDE_TO_INSIDE,1551367539635,-86,-96
8A4988671C130113E1564E33D53A2FB1,FF:FF:C2:1D:9B:52,OUTSIDE,FROM_INSIDE_TO_OUTSIDE,1551367540616,-80,-90
4B45C948EA36031564C711AF68124D8F,FF:FF:C0:22:3D:C1,OUTSIDE,FROM_INSIDE_TO_OUTSIDE,1551367540252,-84,-86
724FB2E273B17F13EA320E9C8B1993A3,FF:FF:C2:1D:9B:71,OUTSIDE,FROM_INSIDE_TO_OUTSIDE,1551367539590,-83,-89
D743D31160EA568C2AAEA0EE1CD25BB7,FF:FF:C2:1D:9B:54,OUTSIDE,FROM_INSIDE_TO_OUTSIDE,1551367541274,-89,-96
68487CFB7D35723425C20CF22EE77D85,FF:FF:C2:1D:9B:52,OUTSIDE,FROM_INSIDE_TO_OUTSIDE,1551367540616,-80,-90
394423FEBB50EBCB863720C8102BFEA9,FF:FF:C0:22:3D:C1,OUTSIDE,FROM_INSIDE_TO_OUTSIDE,1551367541028,-85,-89
174C1D3DE0B45C8F0D1A526C6AB73094,FF:FF:C2:1D:9B:71,OUTSIDE,FROM_INSIDE_TO_OUTSIDE,1551367541074,-77,-84
0947631DB5D8DAF632C816B25C50EAB8,FF:FF:C2:1D:9B:54,OUTSIDE,FROM_INSIDE_TO_OUTSIDE,1551367542400,-88,-94
92476763E1527BDC76238FE4EC252190,FF:FF:C2:1D:9B:52,OUTSIDE,FROM_INSIDE_TO_OUTSIDE,1551367542476,-88,-91
4D4BC2B3F59C401D506D75D195A3F2B5,FF:FF:C0:22:3D:C1,OUTSIDE,FROM_INSIDE_TO_OUTSIDE,1551367542368,-84,-86
E04408F88FA3A8B54FAA9F135BAC6D99,FF:FF:C2:1D:9B:71,OUTSIDE,FROM_OUTSIDE_TO_INSIDE,1551367542527,-70,-87
06463BC90631E240D0AF1C9EEB7BDCB6,FF:FF:C2:1D:9B:54,OUTSIDE,FROM_INSIDE_TO_OUTSIDE,1551367542986,-89,-94
AA499EFB74E94FA05E06435A07284AB9,FF:FF:C2:1D:9B:52,OUTSIDE,FROM_INSIDE_TO_OUTSIDE,1551367543544,-85,-91
0044D82531610D0DC1372A49D3CE7DA6,FF:FF:C0:22:3D:C1,OUTSIDE,FROM_INSIDE_TO_OUTSIDE,1551367543069,-84,-85
71436FAE6F1FED4272DDA5F313307E9F,FF:FF:C2:1D:9B:71,OUTSIDE,FROM_INSIDE_TO_OUTSIDE,1551367543437,-74,-89
F1495316978B9588D239C7AA56FD8AAE,FF:FF:C2:1D:9B:54,OUTSIDE,FROM_INSIDE_TO_OUTSIDE,1551367545087,-88,-89
184B8B76F7879D328B8FA2CE84339FBB,FF:FF:C2:1D:9B:52,OUTSIDE,FROM_INSIDE_TO_OUTSIDE,1551367544588,-80,-91
7E4412076DE20A0204CDC457C6E6A0BD,FF:FF:C0:22:3D:C1,OUTSIDE,FROM_OUTSIDE_TO_INSIDE,1551367544332,-76,-86
4342564BB17F647733BF1D7FE61409A4,FF:FF:C2:1D:9B:54,OUTSIDE,FROM_OUTSIDE_TO_INSIDE,1551367545523,-90,-89
C74A15D3EA0C5BFB71E90CA7163FF185,FF:FF:C2:1D:9B:52,OUTSIDE,FROM_INSIDE_TO_OUTSIDE,1551367545495,-77,-86
4445BF1DC14E38B1D0DF23DE586188A5,FF:FF:C0:22:3D:C1,OUTSIDE,FROM_INSIDE_TO_OUTSIDE,1551367545523,-76,-84
EF49BB09BC94C70E9E9C07F53CE5D1A2,FF:FF:C2:1D:9B:54,OUTSIDE,FROM_INSIDE_TO_OUTSIDE,1551367547224,-84,-89
3F4751DA2C4EF2AD54750EF461FA1BBE,FF:FF:C2:1D:9B:52,OUTSIDE,FROM_OUTSIDE_TO_INSIDE,1551367547312,-78,-83
7E462A6071A0872A599825651445E393,FF:FF:C0:22:3D:C1,OUTSIDE,FROM_OUTSIDE_TO_INSIDE,1551367547105,-73,-85
40413708E67878D9508CD6800C02BF91,FF:FF:C2:1D:9B:71,OUTSIDE,UNKNOWN,1551367547192,-88,-91
E1468BB2FBCFE68E88F398129FB5ADB9,FF:FF:C2:1D:9B:54,OUTSIDE,FROM_OUTSIDE_TO_INSIDE,1551367548757,-82,-90
1D41A0BD9038C7DCD2074DBF54750783,FF:FF:C2:1D:9B:52,OUTSIDE,FROM_OUTSIDE_TO_INSIDE,1551367548168,-75,-88
B54227AE0814A091BE0EA8D3F24ACBB0,FF:FF:C0:22:3D:C1,OUTSIDE,FROM_INSIDE_TO_OUTSIDE,1551367548505,-70,-80
D843CC68B854FEA4D6660633D5BB58B8,FF:FF:C2:1D:9B:71,OUTSIDE,UNKNOWN,1551367548240,-85,-91
EF42697A8D6DC16D62FCDD492B25099A,FF:FF:C2:1D:9B:54,OUTSIDE,FROM_INSIDE_TO_OUTSIDE,1551367549424,-86,-96
1E403E24072842D0EDE7AB1A4A78CAA8,FF:FF:C2:1D:9B:52,OUTSIDE,FROM_INSIDE_TO_OUTSIDE,1551367549231,-75,-82
E34FA201AC73C4CB5F6F9034F11E7C9C,FF:FF:C0:22:3D:C1,OUTSIDE,FROM_INSIDE_TO_OUTSIDE,1551367549255,-70,-75
7847E9E614DCE48ECC8E6933A0B8FFBF,FF:FF:C2:1D:9B:71,OUTSIDE,UNKNOWN,1551367549283,-89,-91
8F44281CD24F69676F5E3C114943798F,FF:FF:C2:1D:9B:54,OUTSIDE,FROM_OUTSIDE_TO_INSIDE,1551367550300,-87,-91
5642B2A916A49B2699ACCC32C76DA2AC,FF:FF:C2:1D:9B:52,OUTSIDE,FROM_INSIDE_TO_OUTSIDE,1551367550458,-71,-81
CF4F7A2548066AD57C70C78469257DA1,FF:FF:C0:22:3D:C1,OUTSIDE,FROM_INSIDE_TO_OUTSIDE,1551367550441,-71,-81
3E43ED378BBBDAB8A13EF0EA7EA3AC83,FF:FF:C2:1D:9B:71,OUTSIDE,UNKNOWN,1551367550403,-86,-91
8F417B1FAE2F5A2BB98DD1348C4799B2,FF:FF:C2:1D:9B:54,OUTSIDE,FROM_INSIDE_TO_OUTSIDE,1551367551743,-87,-91
5148437E7CF7F02977E382944BBDA680,FF:FF:C2:1D:9B:52,OUTSIDE,FROM_INSIDE_TO_OUTSIDE,1551367552245,-76,-88
E24FEF48289C02F319B01947E9A312B9,FF:FF:C0:22:3D:C1,OUTSIDE,FROM_INSIDE_TO_OUTSIDE,1551367551747,-74,-86
